"seed","n","p","q","arm","ok","healthy","beta_rmse","sigma_rel_frob","frob_Shat","sigma_collapse","sigma_runaway","phi_mean","max_g_fe","max_abs_loading","secs","pass_abs","err"
11406,400,8,2,"gtmb_va",TRUE,FALSE,0.0384450645136267,0.275222641565052,1.300718909991,FALSE,FALSE,5.4392440932803,0.000168394956077789,NA,10.195,TRUE,"status=failed_health_gate"
11406,400,8,2,"gtmb_la",TRUE,TRUE,0.0384862718421827,0.258250328101665,1.21799263137824,FALSE,FALSE,5.38499685265472,0.000487493748030143,0.581934105441273,1.267,TRUE,NA
11406,400,8,2,"gllvm_la",TRUE,TRUE,0.0632988286638456,0.62152008960191,0.471435884214546,FALSE,FALSE,5.39727229824276,NA,0.361976077323923,8.42,FALSE,NA
11406,400,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11407,400,8,2,"gtmb_va",TRUE,FALSE,0.0524072534681119,0.35508109460869,1.21300857880908,FALSE,FALSE,4.90515380576709,6.09545807128686e-05,NA,9.769,TRUE,"status=failed_health_gate"
11407,400,8,2,"gtmb_la",TRUE,TRUE,0.052797544118564,0.384274375056285,1.12340403289935,FALSE,FALSE,4.86296839999868,0.000359047981989713,0.496169739677775,1.062,TRUE,NA
11407,400,8,2,"gllvm_la",TRUE,TRUE,0.0661481931366696,0.90488979462283,0.621724183753664,FALSE,FALSE,4782738.86585823,NA,0.748519750597958,6.761,FALSE,NA
11407,400,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11408,400,8,2,"gtmb_va",TRUE,FALSE,0.0535690112981357,0.239124953564913,1.19878301799805,FALSE,FALSE,5.1988803175631,7.91774445123294e-05,NA,10.027,TRUE,"status=failed_health_gate"
11408,400,8,2,"gtmb_la",TRUE,TRUE,0.0533719070829944,0.264336014369135,1.12169176992865,FALSE,FALSE,5.13570299149637,0.000513629481621702,0.55945092036908,0.878,TRUE,NA
11408,400,8,2,"gllvm_la",TRUE,TRUE,0.0595497252005514,0.696095694948327,0.436258463590623,FALSE,FALSE,5.1483120280522,NA,0.349227590587765,6.28100000000001,FALSE,NA
11408,400,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11409,400,8,2,"gtmb_va",TRUE,FALSE,0.0606022999558259,0.320060107617769,0.98720137769585,FALSE,FALSE,4.89536481882464,9.09472394600985e-05,NA,10.327,TRUE,"status=failed_health_gate"
11409,400,8,2,"gtmb_la",TRUE,TRUE,0.0592853825901604,0.398808093354725,0.844456938404215,FALSE,FALSE,4.80920205689971,0.000342812635395373,0.529466286462829,1.148,TRUE,NA
11409,400,8,2,"gllvm_la",TRUE,TRUE,0.050379218406184,0.706667559173201,0.332670757386314,FALSE,FALSE,4.82562545914568,NA,0.33048263993674,6.328,FALSE,NA
11409,400,8,2,"gllvm_va",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,"N/A: Family(families):  beta  not implemented with method ' VA ."
11410,400,8,2,"gtmb_va",TRUE,FALSE,0.0489208310809296,0.259221622531895,1.61220689198385,FALSE,FALSE,4.96934431688652,2.90002269462963e-05,NA,9.81,TRUE,"status=failed_health_gate"
11410,400,8,2,"gtmb_la",TRUE,TRUE,0.049325523252645,0.263463785440468,1.47011503642852,FALSE,FALSE,4.85801560717893,0.000376307556151145,0.743202294462427,0.927,TRUE,NA
